====================================================================================================
ENTITY IMAGE AUDIT REPORT
Format: EntityType | EntityID | EntityName | TenantID | ImagePath
====================================================================================================
User       | 2     | Allada Pavan                   | 4     | default-logo.png
User       | 4     | Muhammad Evran                 | 4     | default-logo.png
User       | 5     | Kent Hervey                    | 4     | default-logo.png
User       | 6     | Alfred Ephraim                 | 4     | 8c02662811277bacd09ea2389c572119.png
User       | 7     | Nathi Sangweni                 | 4     | default-logo.png
User       | 8     | Ammanolla Shirisha             | 4     | default-logo.png
User       | 9     | Bill Feeny                     | 4     | default-logo.png
User       | 10    | Frederick delos Santos         | 4     | default-logo.png
User       | 11    | Ana Maria                      | 4     | default-logo.png
User       | 12    | Satya Narayana1                | 4     | default-logo.png
User       | 13    | Matthew Efoli                  | 4     | default-logo.png
User       | 14    | Dave Kumar                     | 4     | default-logo.png
User       | 15    | Jack Bruce                     | 4     | default-logo.png
User       | 16    | Mohamed Zirri                  | 4     | default-logo.png
User       | 17    | Mithun Kumar Majumdar          | 4     | default-logo.png
User       | 18    | Ali Raza                       | 4     | 8c02662811277bacd09ea2389c572119.png
User       | 19    | Isaac Henry                    | 4     | default-logo.png
User       | 20    | Svetlana Stasovska             | 4     | default-logo.png
User       | 21    | Mike Gates                     | 4     | default-logo.png
User       | 22    | Pedro Quintero                 | 4     | default-logo.png
User       | 23    | Amina Elshal                   | 4     | default-logo.png
User       | 25    | Ehab Kholif                    | 4     | default-logo.png
User       | 32    | Super Admin                    | 1     | default-logo.png
User       | 33    | Admin [0]                      | 11    | aks-tools.png
User       | 34    | Admin [hotel]                  | 5     | rstudio.png
User       | 35    | Admin [car]                    | 6     | default-logo.png
User       | 36    | Admin [food]                   | 4     | 8c02662811277bacd09ea2389c572119.png
User       | 37    | Ehab Kholif                    | 1     | default-logo.png
User       | 229   | Ehab Kholif                    | 7     | default-logo.png
User       | 230   | Ehab Kholif                    | 7     | default-logo.png
User       | 231   | Ehab Kholif                    | 7     | default-logo.png
User       | 259   | Ehab Kholif                    | 5     | 9b5b8b8f9ab1c264a71e36b63785f661.png
User       | 260   | Ehab Kholif                    | 5     | default-logo.png
User       | 261   | Ehab Kholif                    | 5     | default-logo.png
User       | 262   | Ehab Kholif                    | 5     | ccloud_retina.png
Product    | 1     | Canon EOS M50 Mirrorless Vl... | 4     | canon eos m50.png
Product    | 2     | Sony ZV-1 Camera for Conten... | 4     | Sony ZV-1 main.png
Product    | 3     | Panasonic Lumix FZ80 4K Dig... | 4     | Lumix FZ80 main.png
Product    | 4     | Pelican 1200 Case With Foam... | 4     | Pelican 1200 Case main.png
Product    | 5     | Pelican 1040 Micro Case (Bl... | 4     | Pelican 1040 Micro Case 1.png
Product    | 6     | Verizon Prepaid - Apple iPh... | 4     | Verizon Apple iPhone 6S main.png
Product    | 7     | Samsung Galaxy Note II, Whi... | 4     | Samsung Galaxy Note 2 main.png
Product    | 8     | Samsung 860 EVO 500GB 2.5 I... | 4     | Samsung 500GB SSD main 2.png
Product    | 9     | Canon PowerShot ELPH 180 Di... | 4     | Powershot ELPH 180 main.png
Product    | 10    | Olympus Tough TG-6 Waterpro... | 4     | Olympus Tough main.png
Product    | 11    | Sony a7 III (ILCE7M3K/B) Fu... | 4     | Sony a7 III main.png
Product    | 12    | CADeN Camera Backpack Bag      | 4     | CADeN Camera Backpack open.png
Product    | 14    | AmazonBasics Large DSLR Cam... | 4     | AmazonBasics Large DSLR Camera Bag.png
Product    | 15    | Nikon SB-700 AF Speedlight ... | 4     | Nikon Flash 1.png
Product    | 16    | Canon Speedlite 470EX-AI, A... | 4     | Canon Speedlite main.png
Product    | 17    | Sony External Flash with Wi... | 4     | Sony Flash 1.png
Product    | 18    | Neewer TT560 Flash Speedlite   | 4     | Neewer TT560 Flash Speedlite.png
Product    | 19    | Canon EF 50mm f/1.8 STM Lens   | 4     | Canon EF 50mm main.png
Product    | 20    | Nikon AF-S Nikkor 50mm f/1.... | 4     | Nikon AF-S Nikkor.png
Product    | 21    | Canon EF 75-300mm f/4-5.6 I... | 4     | Canon EF 75-300mm 1.png
Product    | 22    | Sigma 150-600mm 5-6.3 Conte... | 4     | Sigma 150-600mm main.png
Product    | 23    | Bosch BT150 Compact Extenda... | 4     | Bosch BT150 main.png
Product    | 24    | Joby JB01507 GorillaPod 3K Kit | 4     | Joby JB01507 main.png
Product    | 25    | GoPro Shorty Mini Extension... | 4     | GoPro Tripod main.png
Product    | 26    | Manfrotto Element Aluminum ... | 4     | Manfrotto Monopod main.png
Product    | 27    | Samsung Galaxy S7 G930P 32G... | 4     | Samsung Galaxy S7 front.png
Product    | 28    | Samsung Galaxy S6 Edge, Bla... | 4     | Samsung Galaxy S6 Edge front.png
Product    | 29    | Google Pixel 3a XL Verizon ... | 4     | Google Pixel 3a - front.png
Product    | 30    | LG G Flex, Titan Silver 32G... | 4     | LG G Flex front.png
Product    | 31    | LG Optimus Exceed 2 (Verizo... | 4     | LG Optimus Exceed 2 main.png
Product    | 32    | LG G6 H872 32GB T-Mobile Ca... | 4     | LG G6 T-Mobile main.png
Product    | 33    | TracFone Motorola Moto G6 4... | 4     | TracFone Motorola Moto G6 main.png
Product    | 34    | Pantech Pocket, Black (AT&T)   | 4     | Pantech Pocket main.png
Product    | 35    | Samsung Galaxy S10 Factory ... | 4     | Samsung Galaxy S10 main.png
Product    | 36    | Samsung Galaxy A20s A207M 3... | 4     | Samsung Galaxy A20s main.png
Product    | 37    | Samsung Galaxy S20 Ultra 5G... | 4     | Samsung Galaxy S20 main.png
Product    | 38    | Apple iPhone XS, 256GB , Sp... | 4     | iPhone XS 256GB 1.png
Product    | 39    | Apple iPhone 7 Plus, 32GB, ... | 4     | iPhone 7 Plus main.png
Product    | 40    | Apple iPhone X, 64GB, Space... | 4     | iPhone X 64GB main.png
Product    | 41    | Google Pixel 4 - Just Black... | 4     | Google Pixel 4 main.png
Product    | 42    | Moto G Power 3-Day Battery1... | 4     | Motor G Power main.png
Product    | 43    | Huawei P30 Lite (128GB, 4GB... | 4     | Huawai P30 Lite main.png
Product    | 44    | Xiaomi Redmi Note 9S 6.67" ... | 4     | Redmi Note 9S main.png
Product    | 45    | HOVAMP iPhone Charger, MFi ... | 4     | HOVAMP iPhone Charger 5pack main.png
Product    | 46    | iPhone Charger Cord 4Pack i... | 4     | Aioneus iphone charger cord main.png
